title,year,region,poster
阳光灿烂的日子,1994,中国大陆 中国香港,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2564685215.jpg
驯龙高手,2010,美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2210954024.jpg
花样年华,2000,中国香港,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2918312477.jpg
小森林 夏秋篇,2014,日本,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564498893.jpg
天使爱美丽,2001,法国 德国,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2447590313.jpg
新世界,2013,韩国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1903379979.jpg
傲慢与偏见,2005,法国 英国 美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2016401659.jpg
一个叫欧维的男人决定去死,2015,瑞典,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2406624993.jpg
侧耳倾听,1995,日本,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456692072.jpg
怪兽电力公司,2001,美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2513247938.jpg
玩具总动员3,2010,美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1283675359.jpg
请以你的名字呼唤我,2017,意大利 法国 巴西 美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2505525050.jpg
教父3,1990,美国,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2169664351.jpg
色，戒,2007,中国台湾 中国大陆 美国 中国香港,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p453716305.jpg
幸福终点站,2004,美国,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2181698213.jpg
哪吒闹海,1979,中国大陆,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2532803206.jpg
被解救的姜戈,2012,美国,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1800813767.jpg
小森林 冬春篇,2015,日本,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2618201652.jpg
九品芝麻官,1994,中国香港,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p648370300.jpg
釜山行,2016,韩国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2360940399.jpg
神偷奶爸,2010,美国 法国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792776858.jpg
萤火之森,2011,日本,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1675053073.jpg
喜宴,1993,中国台湾 美国,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2249048907.jpg
告白,2010,日本,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p689520756.jpg
玛丽和马克思,2009,澳大利亚 美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p488255145.jpg
头号玩家,2018,美国,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2516578307.jpg
模仿游戏,2014,英国 美国,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2255040492.jpg
七武士,1954,日本,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2215886505.jpg
大鱼,2003,美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p692813374.jpg
惊魂记,1960,美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1021883305.jpg
射雕英雄传之东成西就,1993,中国香港,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2609063922.jpg
血战钢锯岭,2016,澳大利亚 美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2398141939.jpg
我是山姆,2001,美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p652417775.jpg
你的名字。,2016,日本,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2910701461.jpg
阳光姐妹淘,2011,韩国,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1374786017.jpg
恐怖直播,2013,韩国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2016930906.jpg
黑客帝国3：矩阵革命,2003,美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p443461818.jpg
背靠背，脸对脸,1994,中国大陆 中国香港,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505048077.jpg
心灵奇旅,2020,美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2595591069.jpg
电锯惊魂,2004,美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p726839485.jpg
三块广告牌,2017,英国 美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2502943384.jpg
小丑,2019,美国 加拿大,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2567198874.jpg
谍影重重3,2007,美国 德国 法国 英国,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792223507.jpg
达拉斯买家俱乐部,2013,美国,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2166160837.jpg
疯狂原始人,2013,美国,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1867084027.jpg
无间道2,2003,中国香港,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p958008320.jpg
绿里奇迹,1999,美国,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p767586451.jpg
崖上的波妞,2008,日本,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2627847859.jpg
大红灯笼高高挂,1991,中国大陆 中国香港 中国台湾,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1254404823.jpg
真爱至上,2003,英国 美国 法国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p475600770.jpg
千钧一发,1997,美国,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792423963.jpg
罗生门,1950,日本,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1598883511.jpg
恋恋笔记本,2004,美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p483604864.jpg
彗星来的那一夜,2013,美国 英国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2187896734.jpg
哈利·波特与凤凰社,2007,英国 美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2913456924.jpg
海边的曼彻斯特,2016,美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2421855655.jpg
火星救援,2015,英国 美国 匈牙利 约旦,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2264592493.jpg
黑客帝国2：重装上阵,2003,美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p443461390.jpg
奇迹男孩,2017,美国 中国香港,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2507709428.jpg
萤火虫之墓,1988,日本,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2237136718.jpg
战争之王,2005,美国 德国,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792282381.jpg
千年女优,2001,日本,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2215102596.jpg
步履不停,2008,日本,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2375245718.jpg
谍影重重2,2004,美国 德国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p667644866.jpg
血钻,2006,美国 德国 英国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2797308106.jpg
蜘蛛侠：平行宇宙,2018,美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2535851348.jpg
攻壳机动队,1995,日本,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2921045013.jpg
魂断蓝桥,1940,美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2351134499.jpg
冰雪奇缘,2013,美国,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2151245053.jpg
房间,2015,爱尔兰 加拿大 英国 美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2259715855.jpg
隐藏人物,2016,美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2374067318.jpg
谍影重重,2002,美国 德国 捷克,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1597183981.jpg
爱在午夜降临前,2013,美国 希腊,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2074715729.jpg
海街日记,2015,日本,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2603364117.jpg
风之谷,1984,日本,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1917567652.jpg
上帝之城,2002,巴西 法国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p455677490.jpg
英雄本色,1986,中国香港,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2504997087.jpg
疯狂的石头,2006,中国大陆 中国香港,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p712241453.jpg
雨中曲,1952,美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1612355875.jpg
心迷宫,2014,中国大陆,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2276780256.jpg
2001太空漫游,1968,英国 美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2560717825.jpg
末路狂花,1991,美国 英国 法国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910924635.jpg
纵横四海,1991,中国香港,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2597918718.jpg
记忆碎片,2000,美国,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p641688453.jpg
卢旺达饭店,2004,英国 南非 意大利 美国,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p470419493.jpg
高山下的花环,1984(中国大陆),1985,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2319879389.jpg
无敌破坏王,2012,美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1735642656.jpg
小偷家族,2018,日本,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2530599636.jpg
冰川时代,2002,美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910895719.jpg
恐怖游轮,2009,英国 澳大利亚,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p462470694.jpg
东京教父,2003,日本,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p456703618.jpg
牯岭街少年杀人事件,1991,中国台湾,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p848381236.jpg
魔女宅急便,1989,日本,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456676352.jpg
岁月神偷,2010,中国香港 中国大陆,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p456666151.jpg
忠犬八公物语,1987,日本,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2603716224.jpg
荒蛮故事,2014,阿根廷 西班牙,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2919686972.jpg
遗愿清单,2007,美国,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2676812053.jpg
大佛普拉斯,2017,中国台湾,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505928032.jpg
贫民窟的百万富翁,2008,英国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2434249040.jpg
芙蓉镇,1987,中国大陆,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575337180.jpg
源代码,2011,美国 加拿大,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p988260245.jpg
疯狂的麦克斯4：狂暴之路,2015,澳大利亚 美国,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2236181653.jpg
你看起来好像很好吃,2010,日本,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p709670262.jpg
东邪西毒,1994,中国香港 中国台湾,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1982176012.jpg
可可西里,2004,中国大陆 中国香港,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2363208684.jpg
爆裂鼓手,2014,美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2915975989.jpg
城市之光,1931,美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2170238828.jpg
波西米亚狂想曲,2018,英国 美国,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2549558913.jpg
花束般的恋爱,2021,日本,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2868462052.jpg
爱乐之城,2016,美国,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2901102612.jpg
黑天鹅,2010,美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2549648344.jpg
机器人之梦,2023,西班牙 法国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2904305126.jpg
白日梦想家,2013,美国 英国,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2160195181.jpg
青蛇,1993,中国香港 中国大陆,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2570901292.jpg
哈利·波特与死亡圣器(上),2010,英国 美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2913456984.jpg
终结者2：审判日,1991,美国 法国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910909085.jpg
初恋这件小事,2010,泰国,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1505312273.jpg
无耻混蛋,2009,德国 美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575043939.jpg
新龙门客栈,1992,中国香港 中国大陆,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1421018669.jpg
雨人,1988,美国,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2353324612.jpg
人工智能,2001,美国 英国,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792257137.jpg
虎口脱险,1966,法国 英国,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2399597512.jpg
